category,company,slug,requested_url,page_url,page_title,page_status,page_error,favicon_path,favicon_source_url,favicon_source_tag,favicon_content_type,favicon_bytes,favicon_sha256,favicon_error,og_path,og_source_url,og_source_tag,og_content_type,og_bytes,og_sha256,og_error,asset_page_url,collection_status,collection_error,asset_count,logo_count,banner_count,reference_count,logo_paths,banner_paths,reference_paths
자동차,Porsche Korea,porsche-korea,https://www.porsche.com/korea/ko/,https://www.porsche.com/korea/ko/,포르쉐코리아 - 공식 웹사이트,200,,assets/자동차/porsche-korea/favicon.png,https://cdn.ui.porsche.com/porsche-design-system/meta-icons/apple-touch-icon-180x180.bdf11cc.png,apple-touch-icon,image/png,8209,63cc20049201b0be9b708a5f9f51588b0950272a36fbe0f1a05e1f83b6036e01,,assets/자동차/porsche-korea/og.webp,https://images.porsche.com/f/338913/1344x756/b761087df0/porsche-normal.jpg,twitter:image,image/webp,12868,90dc86efc01df67cc09b729c2453fbf8af91659a35494ebfc5b12841b0551aea,,https://www.porsche.com/korea/ko/,partial,,7,0,2,3,[],"[""assets/자동차/porsche-korea/banner-1.webp"", ""assets/자동차/porsche-korea/banner-2.webp""]","[""assets/자동차/porsche-korea/reference-1.webp"", ""assets/자동차/porsche-korea/reference-2.webp"", ""assets/자동차/porsche-korea/reference-3.webp""]"
자동차,Toyota Korea,toyota-korea,https://www.toyota.co.kr/,https://www.toyota.co.kr/,한국 토요타 자동차,200,,assets/자동차/toyota-korea/favicon.png,https://www.toyota.co.kr/favicon_ios.png,apple-touch-icon,image/png,15662,328482a6366345f668d9652fd2be6c5c78f24d277311aff70e2214cf87fa92e4,,assets/자동차/toyota-korea/og.jpg,https://www.toyota.co.kr/image/toyota_cover.jpg,og:image,image/jpeg,276149,011ad771c695d3839ae0d540ae9847eab7157e20d8eee228c465653510b5804f,,https://www.toyota.co.kr/,complete,reference:ValueError:https://www.facebook.com/tr?id=1865710630340839&ev=PageView&noscript=1; reference:ValueError:https://www.facebook.com/tr?id=246843276183216&ev=PageView&noscript=1; reference:ValueError:https://www.facebook.com/tr?id=2640360839473070&ev=PageView&noscript=1,9,2,2,3,"[""assets/자동차/toyota-korea/logo-1.svg"", ""assets/자동차/toyota-korea/logo-2.svg""]","[""assets/자동차/toyota-korea/banner-1.webp"", ""assets/자동차/toyota-korea/banner-2.webp""]","[""assets/자동차/toyota-korea/reference-1.webp"", ""assets/자동차/toyota-korea/reference-2.webp"", ""assets/자동차/toyota-korea/reference-3.webp""]"
자동차,Lexus Korea,lexus-korea,https://www.lexus.co.kr/,https://www.lexus.co.kr/,Lexus Korea | Experience Amazing,200,,assets/자동차/lexus-korea/favicon.png,https://www.lexus.co.kr/favicon/apple-icon-180x180.png,apple-touch-icon,image/png,6655,fff03a8daaa8af30ea3395b626c9cd0ae857b8f1a01abb402550dbd072df4185,,assets/자동차/lexus-korea/og.jpg,https://www.lexus.co.kr/share-thumb-big.jpg,og:image,image/jpeg,59996,e52c74f4662dd740ae06777712797fa42faa3ec0ffcc9742cbf7488a42958f52,,https://www.lexus.co.kr/,partial,,2,0,0,0,[],[],[]
자동차,Honda Korea,honda-korea,https://www.hondakorea.co.kr/,https://www.hondakorea.co.kr/,HONDA,200,,assets/자동차/honda-korea/favicon.ico,https://www.hondakorea.co.kr/favicon.ico,fallback:/favicon.ico,image/x-icon,1150,f5e726969156f282bb1bf99804bc4be5968e8b799f6b1c49d48bb125e7c4f860,,,,,,,,no candidates,https://www.hondakorea.co.kr/,complete,,6,2,2,1,"[""assets/자동차/honda-korea/logo-1.png"", ""assets/자동차/honda-korea/logo-2.png""]","[""assets/자동차/honda-korea/banner-1.webp"", ""assets/자동차/honda-korea/banner-2.webp""]","[""assets/자동차/honda-korea/reference-1.webp""]"
자동차,Ford Korea,ford-korea,https://www.ford-korea.com/,https://www.ford-korea.com/,Access Denied,browser,,assets/자동차/ford-korea/favicon.png,https://www.google.com/s2/favicons?domain_url=https%3A%2F%2Fwww.ford-korea.com&sz=256,fallback:Google favicon service,image/png,495,9a625441dfa7fe2202b491782f1aa21d3c0975aa9634908b247f092828cf2aae,,,,,,,,no candidates,https://www.ford-korea.com/,page-error,HTTPError: 403 Client Error: Forbidden for url: https://www.ford-korea.com/,,,,,[],[],[]
자동차,Lincoln Korea,lincoln-korea,https://www.lincoln-korea.com/,https://www.lincoln-korea.com/,Access Denied,browser,,assets/자동차/lincoln-korea/favicon.png,https://www.google.com/s2/favicons?domain_url=https%3A%2F%2Fwww.lincoln-korea.com&sz=256,fallback:Google favicon service,image/png,495,9a625441dfa7fe2202b491782f1aa21d3c0975aa9634908b247f092828cf2aae,,,,,,,,no candidates,https://www.lincoln-korea.com/,page-error,HTTPError: 403 Client Error: Forbidden for url: https://www.lincoln-korea.com/,,,,,[],[],[]
자동차,Land Rover Korea,land-rover-korea,https://www.landroverkorea.co.kr/,https://www.landroverkorea.co.kr/index.html,랜드로버 | 궁극의 4x4 및 럭셔리 SUV,200,,assets/자동차/land-rover-korea/favicon.ico,https://www.landroverkorea.co.kr/etc.clientlibs/jlr/clientlibs/clientlib-libs/resources/icons/favicon-lrdx.ico,apple-touch-icon,image/vnd.microsoft.icon,140206,83ab7cff77d1720b15223e379c88c5996c35f0060abe3205cfcc967081a6c711,,assets/자동차/land-rover-korea/og.svg,https://www.landroverkorea.co.kr/content/dam/lrdx/logo/lrdx-brand-logo-dark.svg,og:image,image/svg+xml,4025,6b7b49cfadac56a16a7ba139aff897fba045b9f8e2cb7078b7b353e38296e20f,,https://www.landroverkorea.co.kr/index.html,complete,,9,2,2,3,"[""assets/자동차/land-rover-korea/og.svg"", ""assets/자동차/land-rover-korea/logo-2.svg""]","[""assets/자동차/land-rover-korea/banner-1.webp"", ""assets/자동차/land-rover-korea/banner-2.webp""]","[""assets/자동차/land-rover-korea/reference-1.webp"", ""assets/자동차/land-rover-korea/reference-2.webp"", ""assets/자동차/land-rover-korea/reference-3.webp""]"
자동차,Jaguar Korea,jaguar-korea,https://www.jaguarkorea.co.kr/,https://www.jaguar.com/ko-kr/jdx/index.html,재규어 | 영감을 자극하는 열정 | 관습에 대한 도전,200,,assets/자동차/jaguar-korea/favicon.ico,https://www.jaguar.com/etc.clientlibs/jlr/clientlibs/clientlib-libs/resources/icons/favicon-jdx.ico,apple-touch-icon,image/vnd.microsoft.icon,403990,f60790c6ecd4edb0c471141e0b7d334c63d922736a69fc6852dc2d44f49ca6c4,,assets/자동차/jaguar-korea/og.avif,https://www.jaguarkorea.co.kr/content/dam/jdx/future-jaguar/international/x900-tease/X90027GL_303102633_001.jpg,og:image,image/avif,63984,92468c4bc856e1191ac586b7ebf0d49d8dc26b765330c799cbc431cd06e98785,,https://www.jaguar.com/ko-kr/jdx/index.html,complete,,8,1,2,3,"[""assets/자동차/jaguar-korea/logo-1.svg""]","[""assets/자동차/jaguar-korea/banner-1.webp"", ""assets/자동차/jaguar-korea/banner-2.webp""]","[""assets/자동차/jaguar-korea/reference-1.webp"", ""assets/자동차/jaguar-korea/reference-2.webp"", ""assets/자동차/jaguar-korea/reference-3.webp""]"
자동차,Polestar Korea,polestar-korea,https://www.polestar.com/kr/,https://www.polestar.com/kr/,퍼포먼스를 위해 디자인된 전기차 | Polestar 대한민국,200,,assets/자동차/polestar-korea/favicon.webp,https://www.polestar.com/w3-assets/apple-touch-icon.png,apple-touch-icon,image/webp,646,cda936b65d488ed8b09f8428e615c90f12c5df754dbaa09b7852057f9257d4a7,,assets/자동차/polestar-korea/og.avif,https://www.polestar.com/dato-assets/94392/1781079972-polestar-4-my27-seo-rear.png,og:image,image/avif,16076,2a13072a166fc9a5b1e7e24897cfda79165c299243ce7d328f59ca93faa5da4a,,https://www.polestar.com/kr/,partial,,7,2,0,3,"[""assets/자동차/polestar-korea/logo-1.webp"", ""assets/자동차/polestar-korea/logo-2.webp""]",[],"[""assets/자동차/polestar-korea/reference-1.webp"", ""assets/자동차/polestar-korea/reference-2.webp"", ""assets/자동차/polestar-korea/reference-3.webp""]"
자동차,BYD Korea,byd-korea,https://www.bydauto.kr/,https://www.bydauto.kr/index,BYD Korea,200,,assets/자동차/byd-korea/favicon.ico,https://www.bydauto.kr/static/images/favicon.ico,shortcut icon,image/x-icon,16958,ea24f73ec813d244a01d149f12a45f4d3dffc524f8f4baea340db3b8b80751dd,,assets/자동차/byd-korea/og.jpg,https://www.bydauto.kr/static/images/og_img.jpg,og:image,image/jpeg,32315,24fd65094801b6f6b86c98bf66793799036d7dba388409aa32cd87c0c1e92360,,https://www.bydauto.kr/index,complete,,9,2,2,3,"[""assets/자동차/byd-korea/logo-1.webp"", ""assets/자동차/byd-korea/logo-2.webp""]","[""assets/자동차/byd-korea/banner-1.webp"", ""assets/자동차/byd-korea/banner-2.webp""]","[""assets/자동차/byd-korea/reference-1.webp"", ""assets/자동차/byd-korea/reference-2.webp"", ""assets/자동차/byd-korea/reference-3.webp""]"
